geocode_query,longitude,latitude,match_name,status_code,error_message
Burkina Faso,-1.573062,12.27793,Burkina Faso,200,NA
"Vieux Habitants, Guadeloupe Island, French West Indes,, Guadeloupe",-61.762894,16.059887,"Vieux-Habitants, Guadeloupe",200,NA
Panama,-80.268175,8.704735,Panama,200,NA
Zambia,27.430675,-14.004908,Zambia,200,NA
"Bahia, Brazil, Brazil",-48.264832,-18.8914,"Rua Bahia, Brasil, Uberlândia - Minas Gerais, 38400, Brazil",200,NA
"Espirito Santo, Brazil, Brazil",-48.271823,-18.887749,"Rua Espírito Santo, Marta Helena, Uberlândia - Minas Gerais, 38402, Brazil",200,NA
"Maranhao, Brazil, Brazil",-48.268968,-18.895513,"Avenida Maranhão, Brasil, Uberlândia - Minas Gerais, 38400, Brazil",200,NA
"Minas Gerais, Brazil, Brazil",-48.258877,-18.895412,"Brasil, 38400, Uberlândia, Minas Gerais, Brazil",200,NA
"Para, Brazil, Brazil",-48.429554,-1.367449,"Rua Do Benjamin, Coqueiro, Belém - Pará, 66650, Brazil",200,NA
"Distrito Federal, Brazil, Brazil",-47.95337,-16.148271,"Rua Brasil, Luziânia - Goiás, 72850-270, Brazil",200,NA
"Goias, Brazil, Brazil",-46.526942,-18.610831,"Rua Goiás, Vila Rosa, Patos de Minas - Minas Gerais, 38700, Brazil",200,NA
"Civuiti, Democratic Republic of Congo, Democratic Republic of the Congo",27.520095,-11.638865,"Congo, Lubumbashi, Haut-Katanga, Democratic Republic of the Congo",200,NA
"Kissoko, Democratic Republic of Congo, Democratic Republic of the Congo",27.520095,-11.638865,"Congo, Lubumbashi, Haut-Katanga, Democratic Republic of the Congo",200,NA
"Dendron, Kwa-Zulu Natal, South Africa, South Africa",30.378889,-29.6,"KwaZulu-Natal, South Africa",200,NA
"Hlabisha, Kwa-Zulu Natal, South Africa, South Africa",31.876165,-28.145731,"Hlabisa, KwaZulu-Natal, South Africa",200,NA
"Rooiwal, Kwa-Zulu Natal, South Africa, South Africa",30.378889,-29.6,"KwaZulu-Natal, South Africa",200,NA
"Lushoto District, Tanga Region, Tanzania, Tanzania",38.290899,-4.798365,"Lushoto, Tanga, Tanzania",200,NA
"Zanzibar, Tanzinia, Tanzania",39.207743,-6.166059,"Zanzibar, Mjini Magharibi, Tanzania",200,NA
